iter	Logloss
0	0.6830659682
1	0.6742973442
2	0.6656997882
3	0.6573487179
4	0.6461691991
5	0.6350363953
6	0.6247992694
7	0.6184948263
8	0.6139607903
9	0.6081891613
10	0.599335896
11	0.59067556
12	0.5879341079
13	0.5828700412
14	0.5750974383
15	0.5706851485
16	0.5654906501
17	0.5584782587
18	0.5524353232
19	0.5474863609
20	0.5382417809
21	0.5298767224
22	0.5248596509
23	0.5183603761
24	0.5154765755
25	0.5090954276
26	0.5065604797
27	0.5017595065
28	0.494688239
29	0.4927446872
30	0.4868466787
31	0.4843070645
32	0.4806588231
33	0.4768625395
34	0.4743039686
35	0.469776236
36	0.4637187992
37	0.4603112443
38	0.4554619812
39	0.451726891
40	0.4459670612
41	0.4411135173
42	0.4387119827
43	0.4359998696
44	0.4345638269
45	0.4303923526
46	0.4241087217
47	0.4218345594
48	0.4190672715
49	0.4151136216
50	0.409966194
51	0.4071849638
52	0.4054222244
53	0.4015422268
54	0.398208003
55	0.3939932873
56	0.3911741748
57	0.387960725
58	0.3856935195
59	0.3818878045
60	0.3783697642
61	0.3764265938
62	0.3727550378
63	0.3693388808
64	0.3672025146
65	0.3643748541
66	0.3605655743
67	0.3553457577
68	0.35315024
69	0.3512174904
70	0.3499498936
71	0.3455200794
72	0.342133747
73	0.3410290962
74	0.3377427551
75	0.3355815704
76	0.3328829441
77	0.3301431064
78	0.3242775271
79	0.3209382075
80	0.3162889653
81	0.3146934424
82	0.3129015848
83	0.3100130532
84	0.3079129727
85	0.3057546234
86	0.3024381637
87	0.300511041
88	0.29785326
89	0.2959681872
90	0.2936081198
91	0.290929236
92	0.287655593
93	0.2846534021
94	0.2823082593
95	0.2797677612
96	0.2777822739
97	0.2757758685
98	0.2745886464
99	0.2734249967
100	0.2714556181
101	0.2685854958
102	0.2651708349
103	0.2632914203
104	0.2610307297
105	0.2594037535
106	0.2568275939
107	0.2546857611
108	0.2537842212
109	0.2511380452
110	0.249796626
111	0.2484660663
112	0.2471203484
113	0.2451591543
114	0.2435860568
115	0.2412672744
116	0.2396410977
117	0.2380031168
118	0.2360244015
119	0.2343398765
120	0.2319558864
121	0.2300821921
122	0.2280580721
123	0.2261302518
124	0.2240505262
125	0.2227066977
126	0.2215052773
127	0.2204728516
128	0.2191338777
129	0.2168949163
130	0.214947501
131	0.2132452253
132	0.2123328788
133	0.2107599051
134	0.2097168965
135	0.2070626252
136	0.2055161698
137	0.2041547169
138	0.2023827073
139	0.2005271663
140	0.199049087
141	0.1975300284
142	0.1956938812
